,date,username,post content,quoted user
0,2012-05-25 22:01:00,bulbie,"b""...all of the time. It's crippling me. (Nod 2)""",
1,2012-05-25 22:08:00,manekineko,"b""Hi bulbie, I share your pain! That's why I like forums, they make me feel less lonely and just the kindness of having someone reply with empathy and encouragement is enough to make me feel a little better. Are you lonely because you're alone? Or do you feel lonely even when you're around others? I have social anxiety and depression which means meeting people is difficult, and I find that I don't 'play well with others' as my parents like to say. What's making you feel so lonely? x""",
2,2012-05-25 22:10:00,Starless,b'(Group Hug)',
3,2012-05-25 22:40:00,bulbie,"b""I'm completely isolated here, that really doesn't help. Been single for over a year whn everyone seems to have someone. No one wants me. (Crying)""",
4,2012-05-25 22:46:00,Unloved,b'hiya Bulbie.. You are NOT alone in your feelings.. I Know how hard it can feel.. Admitting you feel alone is half the battle (i think).. Keep talking you can get through this x',
5,2012-05-25 22:51:00,manekineko,"b""You can talk to your friends here (Smile) AWWWWWWW, I'm sure that's not true! You are probably so down at the moment that you don't even realise when someone likes you or are showing an interest/checking you out! I know it can suck being single, especially if all your friends have someone, but take solace in the fact that I've been single for five years! Not even a date... Also, if you are single then you can take advantage of that time to do things that you want to do without the responsibility of having another to worry about. A year isn't a long time at all if you think about it, because looking for a person that is right for you is more important than being with someone to not be alone, and i'm sure once you have found a person like that, you wont regret holding out for more! x""",
6,2012-05-25 22:55:00,Allyke,b'Love you Bulbie (Group Hug) xx',
7,2012-05-25 23:25:00,Sugarplum,"b""You sound fantastic to me. I'd go out with you if I wasn't taken(Frown)SPXx""",Allyke
8,2012-05-26 11:24:00,bulbie,"b""Thank you so much everyone.I'm hoping a visit home might pick me up, but right now its hard to see that. I've gotten a little flabby too and all that makes me think is who would want me with a body like this? (Frown)""",
9,2012-05-26 11:52:00,Unloved,"b""morning Bulbie, its nice to hear your going out visiting.. Being able to go bk to your 'roots' can be reassuring.. On your body image,, anyone worth their salt would see past that straight off!,.. judging someone on looks alone is pretty shallow, buts thats how i see it.. Really hope you get out there, and end up having a Cracking day! X""",
10,2012-05-26 12:05:00,Foxjo,"b""Morning Bulbie, ive just logged on. all the people above have given you great words of wisdom. its true, people find each other, fall in love with each other in more ways than just the physical sense. friends too, cannot always be around but on-line there is always someone to talk to. thats why i love the forum. there is always someone 'here'. try and enjoy some of the sunshine this weekend, log on later and let us know how you are?hugs Fox""",
11,2012-05-26 13:48:00,bulbie,"b""So I'm out at McDonalds then going to get the shopping. I feel like everyone is looking at me thinking I look a mess.""",
12,2012-05-26 13:56:00,blacktulip,b'You could never look a mess (Hug) xx',
13,2012-05-26 14:19:00,bulbie,"b'I feel like I do, feel like my hairs a mess and I look ridiculous in this outfit, and that everyone can see my tummy. (Sorry)'",
14,2012-05-26 14:30:00,jaxie40,"b""Fox is right, I met and fell in love wih my second husband when I was least expecting to. In fact, I was anti-marriage, vowed I'd never do it again after the first. Anyway, I got to know a lot about my husband through many late night chats. I fell deeply in love with that person, not what he looks like. If you saw him in the evenings and weekends, you'd mistake him for a layabout, dressed in torn old jeans and tatty t-shirts. That side of him really doesn't bother me, he's comforatble dressed like that, and that's what's important.And I bet you don't look a mess at all! Seeing some of the sights around, I bet you have nothing to worry about, Bulbie(Hug)""","Foxjo, bulbie"
15,2012-05-26 20:16:00,bulbie,"b'Thanks Jaxie. I just wish I could meet someone who values me enough, who loves me enough to want to marry me.(cry2)'",
16,2012-05-26 20:22:00,Foxjo,"b'Hi Bulbiei met my husband through on-line dating, i fell in love with him over the internet. talking to him, getting to know him first then meeting up with him, i too was painfully shy at meeting people so i felt for me it was a great way of getting to know someone first before dating them in person. obivously there are some men/women on there only out for one thing and they get it. but you can usually suss that one out pretty quickly!today i went out in the sun, i too have put on a lot of weight with my change in meds, i felt like a white whale out in the sun. but i know thats just me and how im thinking about myself right now. i tried not to let it spoil my dayout but it is hard. yeah i wish i was a size ten with beautiful hair and teeth but it aint gonna happen! acceptance is what is needed- acceptance from ourselves. then once we feel beautiful to ourselves we can portray that to others.'",
