source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Electrek.co,Pininfarina’s Battista is a 1900-horsepower all-electric hypercar - Electrek,0,0.0,0.0,0.0,0.0,0,0.0
Ars Technica,"T-Mobile has spent $195,000 at Trump hotel while lobbying for Sprint merger - Ars Technica",0,0.0,0.0,0.0,0.0,0,0.0
Abc7ny.com,"'Sudden, extreme' gust of wind sends Norwegian cruise ship passengers 'flying' - WABC-TV",0,0.0,0.0,0.0,0.0,0,0.0
Marketwatch.com,"Tesla stock slides another 4% as analysts question recent decisions, fret about cash burn - MarketWatch",0,0.0,0.0,0.0,0.95817,0,0.0
Associated Press,"After years of promise, battery cars about to go mainstream - Associated Press",0,0.0,0.0,0.0,0.0,0,0.0
Yahoo.com,Papa John's founder Schnatter to exit board in settlement - Yahoo Finance,0,0.0,0.0,0.0,0.653099,0,0.0
Business Insider,Amazon took over the $176 billion market for cloud computing. Now it's using the same playbook in logistics. - Business Insider,0,0.0,0.0,0.0,0.596122,0,0.0
Fox News,Boy eating McDonald’s finds razor blade in Happy Meal box - Fox News,0,0.0,0.660157,0.0,0.506763,0,0.0
Fox2now.com,Birth control recalled over incorrect packaging - KTVI Fox 2 St. Louis,0,0.0,0.0,0.0,0.541591,0,0.0
CBS News,Bugatti sells most expensive car ever made for $12.5 million - CBS News,0,0.0,0.0,0.0,0.0,0,0.0
Foxbusiness.com,The world's youngest billionaires under 30 - Fox Business,0,0.0,0.613866,0.0,0.0,0,0.0
Marketwatch.com,"4 good reasons this small-cap, dividend-paying stock sector could reward contrarian investors - MarketWatch",0,0.0,0.561031,0.0,0.589295,0,0.716301
CNBC,Tesla shares fall 4 percent despite China approval of Model 3 imports - CNBC,0,0.0,0.0,0.628706,0.642915,0,0.0
Fox News,Harley-Davidson will start selling electric motorcycles for 3-year-olds - Fox News,0,0.0,0.0,0.0,0.0,0,0.0
CNBC,"Southwest's maintenance problems are costing it millions a week, CEO says - CNBC",0,0.0,0.0,0.537746,0.620279,0,0.0
Axios,AT&T shakes up WarnerMedia amid merger drama - Axios,0,0.544411,0.0,0.0,0.0,0,0.0
Daytondailynews.com,Thousands of stores planned to close in 2019: Here’s the list - Dayton Daily News,0,0.0,0.0,0.0,0.0,0,0.0
Marketrealist.com,Cronos Group Got a 'Market Perform' Rating from Cowen - Market Realist,0,0.0,0.0,0.0,0.862286,0,0.0
CNN,"JetBlue wants you to delete your Instagram photos for free flights, and we have questions - CNN",0,0.0,0.0,0.0,0.762356,0,0.0
CNBC,New home sales rise to 7-month high in December - CNBC,0,0.0,0.564537,0.0,0.0,0,0.0
CNN,Why Tesla's decision to close hundreds of stores is risky - CNN,0,0.0,0.0,0.0,0.653099,0,0.0
The Verge,Aston Martin Lagonda All-Terrain Concept at the Geneva Motor Show 2019 - The Verge,0,0.0,0.0,0.0,0.0,0,0.0
Thisisinsider.com,"An explosive exposé on a $9 billion Russian money laundering operation entangles Citigroup, Raiffeisen, and Deutsche Bank - INSIDER",0,0.0,0.0,0.0,0.0,0,0.0
Ars Technica,Mercedes-Benz debuts EQV electric van at the Geneva auto show - Ars Technica,0,0.0,0.0,0.0,0.0,0,0.0
Npr.org,Tokyo Court Grants Bail To Former Nissan CEO Carlos Ghosn - NPR,0,0.0,0.0,0.0,0.0,0,0.0
Cheatsheet.com,Is Ariana Grande Debuting Her Own Starbucks Drink? - The Cheat Sheet,0,0.0,0.0,0.0,0.0,0,0.0
Newser.com,Google: We Underpaid Thousands of Men - Newser,0,0.0,0.0,0.0,0.0,0,0.0
CNN,Target had its best year since 2005 - CNN,0,0.0,0.0,0.0,0.0,0,0.0
Fox News,"Ocasio-Cortez not ruling out Amazon's return to New York, says communities must be consulted - Fox News",0,0.0,0.0,0.0,0.0,0,0.0
Seekingalpha.com,Timing The Market Is Possible: Here Are Some Lessons Learned - Seeking Alpha,0,0.0,0.588116,0.0,0.842108,0,0.946222
Kitco.com,"Gold, Silver Bulls Work To Stabilize Prices - Kitco News",0,0.0,0.0,0.0,0.0,0,0.0
Newser.com,Major Airline Drops Mandatory Makeup Rule - Newser,0,0.0,0.0,0.0,0.560098,0,0.0
Seekingalpha.com,Sentiment Speaks: Bonds Setting Up To Skyrocket - Seeking Alpha,0,0.0,0.0,0.0,0.724236,0,0.0
The Wall Street Journal,"L Brands Faces Pressure to Separate Victoria’s Secret, Bath & Body Works - The Wall Street Journal",0,0.0,0.0,0.0,0.0,0,0.0
CNN,Spotify just added a million new users in under a week - CNN,0,0.0,0.582004,0.0,0.0,0,0.75152
Fox News,"Amazon, long seen as a threat to malls, is now a hot tenant - Fox News",0,0.630125,0.0,0.0,0.0,0,0.0
