username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Billboard.com,Lady Gaga & Bradley Cooper's 'A Star Is Born' Soundtrack Back at No. 1 on Billboard 200 Post-Oscars - Billboard,0,0,0.620673,0,0,0,0
Buffalonews.com,SNL's 'Weekend Update' takes its shot at Bills - Buffalo News,0,0,0,0,0,0,0
Cheatsheet.com,When Are the Jonas Brothers Releasing a New Album? - The Cheat Sheet,0,0,0,0,0,0,0
Vulture.com,Johnny Depp Is Now Reportedly Suing Amber Heard for Defamation - Vulture,0,0,0,0,0,0,0
Mlb.com,A new 'The Sandlot' TV series is in the works - MLB.com,0,0,0,0.57495,0,0,0
Fox News,Chip and Joanna Gaines donate baby Crewâ€™s outgrown bassinet to fan who is â€˜finally expectingâ€™ - Fox News,0,0,0.732876,0,0.698008,0,0
Cosmopolitan.com,Travis Scott Subtly Addressed Those Kylie Jenner Cheating Rumors at His Concert Last Night - Cosmopolitan.com,0,0,0,0,0,0,0
Newson6.com,'The Voice' Contestant Janice Freeman Dead at 33 - News On 6,0,0,0,0.676496,0,0,0
Tmz.com,Roseanne Barr Calls #MeToo Movement Hollywood 'Hos' with No Self-Respect - TMZ,0,0,0.548082,0,0,0,0
Tasteofcountry.com,Thomas Rhett Gets a Little Help From His Wife on 'SNL' - Taste of Country,0,0,0,0,0,0,0
Essence.com,Werk It: Grace Jones Stuns Paris Fashion Week With Epic Catwalk! - Essence,0,0,0.829165,0,0,0,0
Pagesix.com,Steven Spielberg criticized for plan to block Netflix from Oscars - Page Six,0,0,0,0.555508,0.506763,0,0
Boxofficemojo.com,'How to Train Your Dragon 3' Holds off Madea's 'Family Funeral' at Box Office - Box Office Mojo,0,0,0,0.574881,0,0,0
Cosmopolitan.com,Meghan Markle and Prince Harry Have Been Making Secret Trips to Visit Meg's Mom Doria Ragland in Los Angeles - Cosmopolitan.com,0,0,0.597481,0,0,0,0
Eonline.com,Pete Davidson and Kate Beckinsale Reunite at SNL Party - E! NEWS,0,0,0.579337,0,0,0,0
Pagesix.com,Danielle Staub postpones wedding to Oliver Maier - Page Six,0,0,0,0,0,0,0
Aol.com,'SNL' takes on Smollett controversy in 'Shark Tank' spoof - AOL,0,0,0,0,0,0,0
Ksl.com,"How 'tidying up' like Marie Kondo declutters your home, helps your wallet - KSL.com",0,0,0,0,0,0,0
The Washington Post,"SNL parodied the Cohen hearings, with help from Ben Stiller and Bill Hader - The Washington Post",0,0,0,0,0,0,0
USA Today,"'Real Housewives of Atlanta' star Peter Thomas, Cynthia Bailey's ex, arrested for fraud - USA TODAY",0,0,0,0.540896,0,0,0
Cosmopolitan.com,"Kylie Jenner Is ""Still Devastated"" About the Whole Jordyn Woods Situation - Cosmopolitan.com",0,0,0,0.56588,0,0,0
Hollywoodreporter.com,Why 'Captain Marvel' Sequel Should Introduce the X-Men - Hollywood Reporter,0,0,0,0,0,0,0
Fox News,'Sanford and Son' star Nathaniel Taylor dead at 80 - Fox News,0,0,0,0.513807,0,0,0
Nola.com,Krewe of Bacchus 2019: See what the superkrewe will throw Sunday - NOLA.com,0,0,0,0,0,0,0
Rollingstone.com,Emma Coronel Aispuro: Who Is the Real Mrs. El Chapo? - Rolling Stone,0,0,0,0,0,0.543112,0
Mercurynews.com,"Carolyn Hax: If I take a break, I feel like a bum - The Mercury News",0,0,0,0.651461,0,0,0
Cheatsheet.com,How Much Does Ryan Seacrest Get Paid To Host 'American Idol?' - The Cheat Sheet,0,0,0,0,0,0,0
Variety.com,"China Aims to Become â€˜Strong Film Powerâ€™ Like U.S. by 2035, Calls for More Patriotic Films - Variety",0,0,0.590776,0,0,0,0
Slate.com,SNL: Kate McKinnon and Aidy Bryant try not to puke at the smell of rotten meat. - Slate,0,0,0,0,0,0,0.770435
Youtube.com,Offset's Baby Mama Shya L'amour Says Cardi B Helped Him Become Better Man | TMZ - TMZ,0,0,0.793196,0,0,0,0
Associated Press,"Ian McKellen has apologized for remarks about Spacey, Singer - The Associated Press",0,0,0,0,0,0,0
Illawarramercury.com.au,Albion Park teenager dazzles at Sydney's Mardi Gras - Illawarra Mercury,0,0,0,0,0,0,0
